FECHA,SEMANA,00 TOTAL CDMX,Azcapotzalco,Benito Juárez,Coyoacán,Cuajimalpa de Morelos,Cuauhtémoc,Gustavo A. Madero,Iztacalco,Iztapalapa,Magdalena Contreras,Miguel Hidalgo,Milpa Alta,Tlalpan,Tláhuac,Venustiano Carranza,Xochimilco,Álvaro Obregón
2020-04-24,17,-75.59666511611263,-62.505475251861604,-78.6071273359409,-82.6851851851852,-78.8770053475936,-69.8700275699094,-71.1390236939766,-71.744,-72.004192383836,-74.71759010220549,-83.8338478809992,-66.1616161616162,-78.8059043842256,-69.8712446351931,-74.4439400817068,-73.0873087308731,-83.94611727416799
2020-04-29,18,-73.43042549475354,-64.923147510897,-76.2772327685055,-82.03737191078959,-75.3680634201585,-69.996719160105,-69.99839820599071,-69.4969675347842,-67.8376161837069,-74.6251441753172,-80.77309797787959,-65.8227848101266,-74.8601931875953,-66.82156133829001,-73.86569872958259,-68.2066567312469,-78.7045935037478
2020-05-07,19,-76.5983409707528,-68.88183000000001,-77.79637,-85.85744,-79.75309,-73.3417,-71.35537,-71.07558,-74.24571999999999,-78.14241,-82.26037,-73.04965,-77.94008000000001,-65.90909,-76.71819,-71.78147,-82.49013000000001
2020-05-13,20,-75.94416305034193,-68.20371999999999,-76.5193,-84.79003,-79.7282,-69.98852,-69.77415,-75.99001,-75.49207,-79.29642,-82.29248,-72.78481,-77.73259,-73.04833,-74.09904,-74.06855,-83.18278000000001
2020-05-14,20,-76.31923980631677,-67.92924000000001,-77.65296,-85.38476,-77.90123,-72.19696,-70.69421,-73.65552,-74.54471,-76.84210999999999,-83.21070999999999,-70.92199000000001,-75.16712,-66.83884,-75.14863000000001,-73.72922,-83.31539000000001
2020-05-15,20,-73.97335432544936,-63.99474,-76.69492,-84.03704,-73.47594000000001,-69.1217,-67.07108000000001,-69.6,-71.71305,-70.14524,-83.10413,-74.74746999999999,-73.1659,-64.97854,-74.48933000000001,-70.34203000000001,-80.22187
2020-05-17,20,-66.84098669914273,-56.25927758535379,-64.7939156035329,-74.1349777321,-67.0056497175141,-61.6502716194391,-66.51411136537,-61.254396248534604,-75.4900130670151,-74.001947419669,-70.45723762141671,-69.7674418604651,-69.60784313725489,-70.57471264367821,-68.6405337781485,-66.2450066577896,-70.5763804917372
2020-05-20,21,-73.34712686918085,-65.886671254875,-75.0668875015926,-83.3835643962226,-78.8221970554926,-67.011154855643,-68.2043889155855,-70.353193007492,-71.7468562055768,-72.31833910034601,-80.6390347447213,-65.8227848101266,-73.79257752923229,-74.0706319702602,-72.9323308270677,-65.772478887233,-81.2031520276763
2020-05-25,22,-68.60024843233212,-63.1449631449631,-69.8258635455324,-77.936694021102,-72.12588310854208,-60.369510543625495,-66.0739191073919,-66.1016949152542,-69.5784002310136,-68.7537268932618,-77.44201457919151,-74.2331288343558,-68.8721021099245,-65.7320872274143,-65.172507470796,-58.210645526613796,-75.5062886378171
2020-05-26,22,-72.2369196606034,-69.3603411513859,-73.1266811835532,-81.13481051977641,-79.46428571428571,-66.9479246569505,-70.5370101596517,-68.8083675756444,-69.76997413910439,-69.4263749260792,-80.0675295441756,-73.25581395348841,-66.8407310704961,-70.1,-69.2174913693901,-65.89026915113871,-78.61283230061959
2020-06-03,23,-68.70524378283243,-63.3860977288369,-69.7541088036693,-77.9987944544907,-73.38618346545871,-61.7618110236221,-64.279993592824,-63.217980734926904,-62.8485511208311,-68.3391003460208,-80.82895765836221,-71.5189873417722,-69.39501779359429,-70.817843866171,-67.7728804770547,-60.15896671634379,-76.0907168940996
2020-06-04,23,-69.2729090130204,-62.599228850079406,-70.62619502868071,-83.1726224238987,-70.43209876543209,-63.2585855417908,-62.9090909090909,-65.9883720930233,-61.8918184289209,-64.4582043343653,-81.50418965869609,-61.7021276595745,-65.5360237682595,-65.1859504132232,-72.294887039239,-61.2351543942993,-75.3139576605669
2020-06-05,23,-67.76159635500531,-59.1765221200175,-71.5667101260322,-78.7222222222222,-70.2673796791444,-59.779440724694794,-62.7033970882101,-60.928000000000004,-61.5115872831024,-65.8418504572351,-81.0646458976518,-67.1717171717172,-66.600572813395,-63.0901287553648,-67.9754879709487,-58.010801080108,-74.8969889064976
2020-06-06,23,-61.27604521312815,-60.611038107753004,-58.218565551779605,-72.11216876768721,-59.431728492502,-55.1181944593005,-62.218530823182,-54.50297366185221,-60.726572175588295,-53.9017341040462,-71.8342151675485,-73.7704918032787,-55.215311004784695,-64.6362098138748,-61.849890999688604,-63.6882129277567,-63.41265548945379
2020-06-08,24,-57.281611517682094,-59.7297297297297,-56.622894661718504,-64.2907385697538,-72.5754656390495,-41.8649642097117,-45.589260808926106,-55.123266563944505,-54.331504475888,-60.9421586165772,-75.8117958913188,-73.0061349693252,-48.84084396978379,-60.22845275181721,-66.2863352349905,-48.1879954699887,-69.5160946493285
2020-06-13,24,-55.24649325888602,-51.87253613666229,-54.2121266320873,-67.01826601492151,-53.11760063141279,-49.3849609583913,-52.9900332225914,-49.830076465590494,-55.16719416540529,-48.55491329479771,-69.9470899470899,-64.4808743169399,-44.146730462519905,-61.92893401015229,-56.057303020865795,-53.3269961977186,-56.841535965386704
2020-06-15,25,-56.11577545308969,-54.594594594594604,-58.5069940051385,-71.6529894490035,-66.0886319845857,-40.5494292899981,-56.1018131101813,-53.1587057010786,-46.058330926942,-59.4514013118664,-70.80185553346591,-66.8711656441718,-59.859338369367,-55.867082035306304,-54.251562075523005,-45.5266138165345,-64.4851843956512
2020-06-16,25,-61.04478225706962,-65.0106609808102,-64.07070577686689,-74.3425139780493,-68.3333333333333,-51.6065797323788,-57.23270440251571,-54.239820694807605,-47.25738396624471,-59.846244825547,-77.0399549803039,-66.8604651162791,-60.2872062663185,-53.3,-56.8757192174914,-50.6728778467909,-68.8986608035179
2020-06-17,25,-61.564401929303656,-59.1878871300757,-64.1737800993757,-75.04520795660041,-69.1392978482446,-53.510498687664004,-57.4082972929681,-54.263289332857596,-47.58064516129029,-60.6113033448674,-77.1310468104122,-58.22784810126579,-62.4300965937977,-49.7211895910781,-61.239305159450396,-54.644808743169406,-69.9596386699981
2020-06-20,25,-50.46132370965546,-47.5361366622865,-49.150420318368795,-59.763313609467495,-47.750591949487,-44.42186330088779,-49.81543004798821,-45.709430756159705,-50.1032062749415,-36.9219653179191,-66.4197530864197,-59.5628415300546,-46.7304625199362,-54.82233502538071,-48.4272812208035,-51.3307984790875,-49.134667387777206
2020-06-23,26,-61.68766191931792,-62.19616204690829,-63.558345074932795,-75.81279768067921,-67.6785714285714,-52.66342793829371,-60.2644734720206,-56.1822936122525,-52.1437321355655,-59.609698403311704,-73.5621834552617,-59.302325581395294,-56.422976501305506,-62.1,-60.9896432681243,-56.6770186335404,-68.59884069558271
2020-06-24,26,-60.195348712230114,-58.247304427621,-63.600458657153794,-74.1611412497488,-69.0260475651189,-51.6568241469816,-54.46099631587379,-57.795219407777395,-47.0202296336796,-59.919261822376,-74.851971846721,-56.329113924050596,-62.0488052872395,-53.531598513011105,-58.6206896551724,-51.1177347242921,-66.6922929079377
2020-06-28,26,-54.38546218688063,-47.8476001979218,-53.2384690873405,-65.9815005138746,-53.5593220338983,-46.4983115548378,-53.31807780320371,-47.8898007033998,-57.6255366809782,-56.183057448880206,-69.225302061123,-61.046511627907,-58.6726998491704,-58.3908045977011,-56.5471226021685,-51.531291611185104,-57.476823861346205
2020-07-07,28,-52.86143133250174,-57.5693,-58.92148,-67.44668,-62.7381,-37.89312,-45.92808,-43.59357,-41.47271,-53.6369,-72.41418,-62.7907,-54.98695,-54.4,-45.36824,-39.596270000000004,-60.043969999999995
