Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,2629.350098,2770.479980,2552.780029,2770.479980,2770.479980,6719
2007-06-01,2789.290039,2975.870117,2789.290039,2922.459961,2922.459961,4647
2007-07-01,2951.989990,3042.820068,2817.709961,2884.409912,2884.409912,6544
2007-08-01,2866.209961,2926.790039,2866.209961,2912.689941,2912.689941,8140
2007-09-01,2871.550049,3393.419922,2871.550049,3187.649902,3187.649902,4569
2007-10-01,3251.300049,3878.270020,3244.830078,3873.280029,3873.280029,34045
2007-11-01,4016.580078,4126.089844,3480.830078,3914.770020,3914.770020,26160
2007-12-01,3873.129883,4024.290039,3661.090088,3859.250000,3859.250000,14314
2008-01-01,3822.969971,3822.969971,2948.679932,3070.530029,3070.530029,37013
2008-02-01,2880.939941,2950.209961,2476.169922,2583.469971,2583.469971,13827
2008-03-01,2487.219971,2545.899902,2395.959961,2410.360107,2410.360107,9881
2008-04-01,2481.820068,3152.389893,2399.530029,3095.379883,3095.379883,180150
2008-05-01,3217.969971,3235.060059,2920.100098,3120.399902,3120.399902,63483
2008-06-01,3059.219971,3059.219971,2731.189941,2808.830078,2808.830078,7607
2008-07-01,2798.540039,2917.830078,2456.580078,2502.649902,2502.649902,6361
2008-08-01,2473.080078,2661.419922,2444.120117,2461.260010,2461.260010,43799
2008-09-01,2538.139893,2550.219971,2241.120117,2334.260010,2334.260010,88940
2008-10-01,2329.120117,2531.179932,2153.290039,2406.239990,2406.239990,25482
2008-11-01,2323.179932,2323.179932,1754.089966,1966.900024,1966.900024,47131
2008-12-01,1915.229980,2203.770020,1861.760010,2159.959961,2159.959961,17056
2009-01-01,2321.409912,2540.590088,2113.949951,2483.370117,2483.370117,27899
2009-02-01,2638.689941,2761.010010,2540.540039,2639.820068,2639.820068,7184
2009-03-01,2639.820068,2639.820068,2346.189941,2497.000000,2497.000000,12457
2009-04-01,2472.969971,2914.489990,2467.810059,2914.489990,2914.489990,16824
2009-05-01,2750.729980,2806.770020,2489.899902,2806.770020,2806.770020,19635
2009-06-01,2903.429932,3050.479980,2738.129883,2837.620117,2837.620117,6814
2009-07-01,2850.989990,3070.020020,2729.719971,3022.020020,3022.020020,7867
2009-08-01,3065.750000,3187.760010,2958.959961,3176.959961,3176.959961,8904
2009-09-01,3207.300049,3470.540039,3136.340088,3441.239990,3441.239990,12196
2009-10-01,3435.320068,3761.040039,3435.320068,3634.310059,3634.310059,9028
2009-11-01,3634.310059,3898.110107,3634.310059,3898.110107,3898.110107,3551
2009-12-01,3899.610107,4162.080078,3789.320068,4160.799805,4160.799805,6889
2010-01-01,4164.959961,4165.169922,3563.360107,3605.120117,3605.120117,27010
2010-02-01,3514.760010,3599.080078,3451.780029,3473.189941,3473.189941,11328
2010-03-01,3477.229980,3749.729980,3477.229980,3593.939941,3593.939941,9524
2010-04-01,3550.860107,3748.189941,3311.159912,3335.239990,3335.239990,35231
2010-05-01,3335.840088,3424.270020,3119.530029,3226.169922,3226.169922,24420
2010-06-01,3234.030029,3321.699951,3008.830078,3008.830078,3008.830078,7244
2010-07-01,2933.610107,3229.520020,2902.399902,3166.419922,3166.419922,14091
2010-08-01,3166.679932,3264.879883,3005.750000,3061.510010,3061.510010,11863
2010-09-01,3099.070068,3448.949951,3099.070068,3378.000000,3378.000000,11271
2010-10-01,3402.110107,3954.360107,3393.419922,3936.689941,3936.689941,28137
2010-11-01,3906.550049,3960.500000,3586.229980,3590.629883,3590.629883,11552
2010-12-01,3619.899902,3841.250000,3609.370117,3799.600098,3799.600098,4674
2011-01-01,3822.739990,3952.750000,3743.560059,3752.300049,3752.300049,5804
2011-02-01,3779.040039,3901.429932,3754.870117,3824.800049,3824.800049,4629
2011-03-01,3750.760010,3772.100098,3433.860107,3581.219971,3581.219971,7878
2011-04-01,3615.020020,3619.649902,3129.659912,3187.760010,3187.760010,10238
2011-05-01,3188.790039,3245.340088,3107.959961,3107.959961,3107.959961,15795
2011-06-01,3167.189941,3167.189941,2901.370117,3040.709961,3040.709961,25627
2011-07-01,3091.870117,3737.389893,3091.870117,3660.270020,3660.270020,23466
2011-08-01,3639.270020,3655.639893,3115.260010,3460.260010,3460.260010,13191
2011-09-01,3357.939941,3815.030029,3303.879883,3699.340088,3699.340088,10746
2011-10-01,3631.469971,4165.169922,3461.290039,4071.169922,4071.169922,25979
2011-11-01,4083.290039,4300.899902,2141.280029,4193.450195,4193.450195,11212
2011-12-01,4262.290039,4621.740234,2234.060059,2373.909912,2373.909912,11027
2012-01-01,2373.909912,4705.359863,2247.020020,3872.610107,3872.610107,49066
2012-02-01,3881.620117,4098.330078,1998.000000,4098.330078,4098.330078,35986
2012-03-01,4083.929932,4319.350098,2052.610107,4258.229980,4258.229980,46829
2012-04-01,4216.069824,4378.500000,2149.739990,4043.830078,4043.830078,96848
2012-05-01,2079.149902,4504.000000,2079.149902,4257.709961,4257.709961,45526
2012-06-01,4216.580078,4224.549805,3931.739990,3976.989990,3976.989990,18622
2012-07-01,3996.010010,4370.310059,3896.260010,4321.020020,4321.020020,27782
2012-08-01,4324.560059,4712.229980,4290.620117,4657.729980,4657.729980,32047
2012-09-01,4657.729980,5036.569824,4593.970215,4999.709961,4999.709961,33672
2012-10-01,5001.520020,5058.180176,4447.439941,4560.549805,4560.549805,64789
2012-11-01,4592.689941,4641.790039,4349.750000,4641.790039,4641.790039,28394
2012-12-01,4657.209961,4763.250000,4508.109863,4627.390137,4627.390137,28506
2013-01-01,4627.390137,4975.180176,4549.750000,4947.200195,4947.200195,39768
2013-02-01,4960.560059,5290.649902,4960.560059,5282.919922,5282.919922,38520
2013-03-01,5257.240234,5491.689941,5096.990234,5096.990234,5096.990234,40347
2013-04-01,5079.850098,5165.100098,4802.720215,5145.950195,5145.950195,46350
2013-05-01,5145.950195,5838.229980,5145.950195,5753.390137,5753.390137,71267
2013-06-01,5660.839844,6178.979980,5620.020020,5857.100098,5857.100098,51073
2013-07-01,5912.779785,6072.770020,5655.700195,5863.649902,5863.649902,39221
2013-08-01,5901.979980,5954.799805,5665.109863,5878.229980,5878.229980,27191
2013-09-01,5878.229980,6049.029785,5831.029785,5914.729980,5914.729980,14959
2013-10-01,5978.330078,6945.540039,5748.250000,6929.259766,6929.259766,55358
2013-11-01,6920.009766,7198.169922,6825.399902,7158.060059,7158.060059,23980
2013-12-01,7197.890137,7532.370117,7046.609863,7522.600098,7522.600098,22448
2014-01-01,7522.600098,8123.640137,7452.419922,8109.049805,8109.049805,39818
2014-02-01,8109.049805,8411.570313,7815.149902,8264.269531,8264.269531,24851
2014-03-01,8208.700195,8324.160156,7451.129883,7504.740234,7504.740234,96992
2014-04-01,7603.830078,7691.740234,6742.509766,6976.109863,6976.109863,50889
2014-05-01,6976.109863,7369.500000,6645.000000,7305.500000,7305.500000,52166
2014-06-01,7248.410156,7622.000000,6830.500000,7620.000000,7620.000000,45600
2014-07-01,7650.000000,7868.810059,7483.709961,7821.000000,7821.000000,25031
2014-08-01,7597.750000,8000.000000,7500.000000,7584.000000,7584.000000,5694
2014-09-01,7584.000000,7990.000000,7584.000000,7888.000000,7888.000000,16581
2014-10-01,7900.000000,7928.000000,6820.000000,7515.250000,7515.250000,10052
2014-11-01,7515.250000,7670.000000,7325.000000,7530.000000,7530.000000,27935
2014-12-01,7521.000000,7993.839844,7349.299805,7879.859863,7879.859863,15420
2015-01-01,7879.859863,8095.000000,7217.000000,8040.000000,8040.000000,22737
2015-02-01,8040.000000,8458.000000,7770.000000,8380.000000,8380.000000,19844
2015-03-01,8400.000000,8963.000000,8400.000000,8570.000000,8570.000000,8199
2015-04-01,8326.000000,8886.629883,8102.000000,8368.000000,8368.000000,19717
2015-05-01,8368.000000,8573.040039,8169.000000,8428.709961,8428.709961,45928
2015-06-01,8418.500000,8706.000000,8149.399902,8706.000000,8706.000000,21393
2015-07-01,8508.000000,11420.000000,8508.000000,10703.599609,10703.599609,31680
2015-08-01,10716.000000,11503.799805,10430.000000,11050.000000,11050.000000,54731
2015-09-01,10780.000000,11270.000000,10604.299805,10722.299805,10722.299805,34383
2015-10-01,10768.200195,12377.000000,10726.099609,12202.000000,12202.000000,56225
2015-11-01,12202.000000,12890.000000,12162.200195,12652.400391,12652.400391,12542
2015-12-01,12800.000000,13840.000000,12800.000000,13509.000000,13509.000000,20873
2016-01-01,13509.000000,13905.000000,12840.000000,13818.200195,13818.200195,36405
2016-02-01,13818.200195,14953.799805,12851.000000,13031.599609,13031.599609,30420
2016-03-01,13172.000000,13454.700195,12543.700195,13178.500000,13178.500000,24001
2016-04-01,13238.000000,13758.500000,12139.200195,12139.200195,12139.200195,42779
2016-05-01,12213.000000,13820.000000,12190.000000,13804.200195,13804.200195,31751
2016-06-01,13860.000000,13920.000000,12715.299805,12845.500000,12845.500000,22637
2016-07-01,13092.500000,15075.000000,13032.000000,14909.599609,14909.599609,31216
2016-08-01,15100.000000,15245.000000,14383.599609,14869.400391,14869.400391,32775
2016-09-01,14877.000000,16170.599609,14746.599609,15618.000000,15618.000000,26711
2016-10-01,15502.000000,15800.000000,15204.000000,15311.000000,15311.000000,42280
2016-11-01,15435.000000,16424.199219,14920.599609,15995.000000,15995.000000,37205
2016-12-01,15800.000000,16880.000000,15700.000000,16495.000000,16495.000000,15406
2017-01-01,16340.000000,18606.300781,16340.000000,17050.000000,17050.000000,53836
2017-02-01,16963.099609,17499.000000,16620.000000,16910.000000,16910.000000,27242
2017-03-01,16964.199219,17053.000000,15640.000000,15874.000000,15874.000000,14918
2017-04-01,15900.000000,17760.000000,15227.500000,17470.000000,17470.000000,13273
2017-05-01,17470.000000,18615.000000,17470.000000,18446.599609,18446.599609,19321
2017-06-01,18398.000000,18639.500000,16781.000000,16917.099609,16917.099609,31867
2017-07-01,16762.000000,17805.000000,16630.000000,16814.000000,16814.000000,42696
2017-08-01,16864.800781,17088.000000,16250.000000,17088.000000,17088.000000,17347
2017-09-01,16928.400391,17722.000000,16468.000000,17687.000000,17687.000000,16888
2017-10-01,17727.099609,20285.000000,17595.000000,19793.000000,19793.000000,34623
2017-11-01,19900.000000,20285.000000,19100.000000,19251.000000,19251.000000,11220
2017-12-01,19298.500000,21141.500000,18842.400391,20749.400391,20749.400391,24398
2018-01-01,20749.400391,22284.699219,20749.400391,20947.000000,20947.000000,19523
2018-02-01,22107.000000,22107.000000,18970.000000,20910.400391,20910.400391,23938
2018-03-01,20850.000000,21900.000000,18300.000000,18441.699219,18441.699219,31058
2018-04-01,18709.099609,20424.199219,18200.000000,19170.000000,19170.000000,21332
2018-05-01,19170.000000,22150.000000,19170.000000,22047.300781,22047.300781,35317
2018-06-01,22207.500000,24455.000000,22156.500000,22432.000000,22432.000000,23949
2018-07-01,22740.000000,23925.000000,21650.000000,22791.900391,22791.900391,18107
2018-08-01,22972.800781,24267.500000,22827.900391,23500.800781,23500.800781,21501
2018-09-01,23500.800781,23642.000000,21790.699219,22723.300781,22723.300781,12108
2018-10-01,22752.000000,22985.400391,20356.300781,22251.000000,22251.000000,35447
2018-11-01,21927.000000,22311.500000,20574.199219,22295.000000,22295.000000,31971
2018-12-01,22690.800781,22900.000000,19690.000000,20499.900391,20499.900391,14982
2019-01-01,20499.900391,21515.000000,20012.000000,21473.000000,21473.000000,12070
2019-02-01,21504.000000,22150.000000,20880.000000,21730.000000,21730.000000,15994
2019-03-01,21900.000000,23390.000000,21900.000000,22780.000000,22780.000000,19302
2019-04-01,23000.000000,24609.000000,22550.000000,22683.500000,22683.500000,14905
2019-05-01,22683.500000,22788.199219,21349.900391,21692.500000,21692.500000,20100
2019-06-01,20665.000000,21510.000000,20308.800781,20642.000000,20642.000000,32544
2019-07-01,21100.000000,24097.000000,20903.599609,23398.000000,23398.000000,28234
2019-08-01,23598.000000,24100.000000,22550.000000,23869.000000,23869.000000,11265
2019-09-01,23869.000000,24383.099609,23221.500000,24198.000000,24198.000000,13679
2019-10-01,23960.400391,24836.900391,23260.000000,24167.199219,24167.199219,6687
2019-11-01,24167.199219,25760.000000,24142.000000,25474.900391,25474.900391,10296
2019-12-01,25125.000000,25933.599609,25050.000000,25704.000000,25704.000000,9074
2020-01-01,25381.000000,28000.000000,25381.000000,27068.000000,27068.000000,18369
2020-02-01,27068.000000,28692.000000,25000.000000,25710.699219,25710.699219,13469
2020-03-01,27020.000000,28290.000000,24550.000000,27521.800781,27521.800781,40860
2020-04-01,27297.000000,32500.000000,26500.000000,32075.000000,32075.000000,33058
2020-05-01,32075.000000,33800.000000,31204.000000,33505.000000,33505.000000,23477
2020-06-01,31650.000000,33250.000000,30535.000000,32398.000000,32398.000000,9238
2020-07-01,32388.900391,35707.601563,32205.000000,33001.699219,33001.699219,16009
2020-08-01,33430.000000,36310.000000,33060.000000,35600.000000,35600.000000,14207
2020-09-01,35605.000000,37500.000000,30390.000000,31736.300781,31736.300781,15497
