22,17,1015
24,03,1078
30,08,1484
02,04,1115
16,08,2267
18,03,1082
08,03,919
03,15,954
06,03,696
16,04,1593
28,16,1015
08,08,1684
18,13,1431
22,15,1368
30,22,139
03,20,311
06,02,384
06,12,1366
13,01,195
26,18,756
17,04,1638
23,02,458
23,22,139
26,19,550
28,13,1042
29,14,1094
14,01,223
13,02,435
23,19,566
03,10,1303
10,16,1065
26,07,1809
17,22,158
15,12,1234
20,10,1842
18,19,621
20,01,173
26,21,201
08,13,1224
08,16,1135
03,11,1179
03,03,879
15,15,1448
19,22,121
22,18,867
01,14,1017
10,08,1635
22,23,110
24,02,462
10,01,145
28,14,1071
25,07,1749
05,03,968
06,21,180
09,21,153
12,02,414
29,12,1091
17,18,910
19,12,1296
27,12,1365
14,10,2124
18,18,834
30,01,184
01,02,316
13,12,1785
10,23,93
13,03,868
19,10,1802
28,00,62
26,16,1016
28,23,86
15,17,1138
18,07,1838
30,03,859
30,09,1446
08,22,118
12,05,1712
08,05,1507
26,01,155
31,14,1108
01,12,1120
04,14,1406
15,03,1141
10,03,932
08,12,1352
28,01,172
01,04,1021
16,00,129
12,20,350
25,17,966
04,22,120
13,07,2074
10,13,1098
21,10,1868
21,15,1325
25,19,536
26,05,1596
05,16,1015
06,06,1552
14,23,70
19,08,1788
27,05,1507
03,08,1470
09,04,1311
05,09,1729
04,08,1837
15,01,214
04,02,515
14,04,1693
12,13,1321
11,05,1826
31,17,871
01,13,1055
24,11,1551
29,10,1428
06,11,1520
14,06,1765
07,10,1514
10,06,1532
29,06,1352
13,19,744
16,06,1959
12,04,1425
21,18,783
22,12,1361
28,10,1508
11,10,1750
13,15,1466
16,19,661
19,01,191
19,13,1253
05,15,1028
02,06,1458
23,18,715
25,09,1567
27,16,1151
28,06,1495
13,08,2355
16,13,1913
17,08,2044
20,22,106
23,05,1582
22,02,522
21,16,1294
30,02,341
31,07,1509
02,00,94
05,02,452
14,02,587
11,04,1535
21,21,217
06,14,1029
21,02,504
28,17,872
11,01,277
13,22,144
22,20,320
27,20,310
31,08,1557
18,21,190
03,05,1187
07,23,82
08,10,1598
01,10,1339
06,09,1702
10,19,588
21,01,177
22,06,1815
24,17,1008
26,06,1680
01,09,1478
17,00,105
19,02,439
23,11,1488
01,16,961
13,06,1785
30,20,325
05,21,226
22,13,1338
28,15,1052
27,01,157
27,07,1666
16,11,2105
20,20,323
03,16,806
14,11,1872
10,18,841
21,00,100
29,18,683
05,08,1799
07,05,1361
14,20,304
08,01,205
14,14,1382
23,06,1768
29,21,186
30,19,494
15,11,1325
10,07,1617
27,02,371
01,21,164
05,13,1136
04,12,1797
17,23,118
10,21,252
27,10,1542
02,18,517
13,21,249
25,15,1257
31,21,187
02,11,1164
04,03,1136
12,14,1195
24,15,1251
29,23,83
14,09,2370
14,22,146
17,16,1281
12,11,1625
26,20,389
05,01,241
18,02,511
02,13,923
05,23,77
04,07,1665
15,08,2251
08,00,64
01,11,1204
31,04,1082
17,07,1983
10,22,188
11,13,1388
27,08,1689
01,00,10
13,16,1485
18,12,1494
17,20,377
01,15,985
15,22,90
16,21,259
12,07,1952
18,22,138
22,16,1349
23,17,1096
24,14,1285
28,22,102
30,04,1178
29,02,368
04,01,274
08,15,1121
28,21,171
30,21,151
15,04,1494
12,03,1024
12,22,138
20,13,1226
22,19,499
28,20,296
13,17,1346
23,08,1827
23,23,79
27,15,1195
09,22,131
26,17,861
26,11,1443
29,05,1331
06,20,233
07,16,1010
13,00,94
29,15,1014
15,21,216
08,18,734
07,03,841
13,11,2070
09,19,436
09,00,81
23,21,201
19,07,1814
24,07,1752
03,01,113
25,00,105
04,18,761
16,09,2561
18,04,1419
12,09,1851
05,19,507
07,08,1590
27,18,707
26,10,1587
27,06,1701
02,05,1315
04,11,1906
06,04,1156
12,18,824
09,06,1672
23,03,1030
22,07,1809
25,06,1703
16,10,2283
04,10,1978
06,07,1675
18,11,1675
12,17,1102
23,04,1375
31,10,1385
